rsid,Magnitude,Repute,Summary
Rs104893837(G;G),0,Good,common in clinvar
Rs104893838(C;C),0,Good,common in clinvar
Rs104893839(C;C),0,Good,common in clinvar
Rs104893840(T;T),0,Good,common in clinvar
Rs104893841(T;T),0,Good,common in clinvar
Rs104893842(G;G),0,Good,common in clinvar
Rs104893843(T;T),0,Good,common in clinvar
Rs104893844(G;G),0,Good,common in clinvar
Rs104893846(C;C),0,Good,common in clinvar
Rs104893847(C;C),0,Good,common in clinvar
Rs104893848(T;T),0,Good,common in clinvar
Rs104893849(A;A),0,Good,common in clinvar
Rs104893850(C;C),0,Good,common in clinvar
Rs104893851(C;C),0,Good,common in clinvar
Rs104893852(C;C),0,Good,common in clinvar
Rs104893853(C;C),0,Good,common in clinvar
Rs104893854(C;C),0,Good,common in clinvar
Rs104893855(G;G),0,Good,common in complete genomics
Rs104893856(G;G),0,Good,common in complete genomics
Rs104893857(T;T),0,Good,common in clinvar
Rs104893858(A;A),0,Good,common in clinvar
Rs104893859(G;G),0,Good,common in clinvar
Rs104893860(G;G),0,Good,common in clinvar
Rs104893861(G;G),0,Good,common in clinvar
Rs104893862(G;G),0,Good,common in clinvar
Rs104893863(G;G),0,Good,common in clinvar
Rs104893864(T;T),0,Good,common in clinvar
Rs104893865(T;T),0,Good,common in clinvar
Rs104893866(A;A),0,Good,common in clinvar
Rs104893867(G;G),0,Good,common in clinvar
Rs104893868(T;T),0,Good,common in clinvar
Rs104893869(G;G),0,Good,common in clinvar
Rs104893870(T;T),0,Good,common in clinvar
Rs104893871(T;T),0,Good,common in clinvar
Rs104893873(G;G),0,Good,common in clinvar
Rs104893874(G;G),0,Good,common in clinvar
Rs104893875(G;G),0,Good,common in clinvar
Rs104893876(T;T),0,Good,common in clinvar
Rs104893877(G;G),0,Good,common in clinvar
Rs104893878(G;G),0,Good,common in clinvar
Rs104893879(G;G),0,Good,common in clinvar
Rs104893880(C;C),0,Good,common in clinvar
Rs104893881(C;C),0,Good,common in clinvar
Rs104893882(A;A),0,Good,common in clinvar
Rs104893883(T;T),0,Good,common in clinvar
Rs104893884(C;C),0,Good,common in clinvar
Rs104893885(G;G),0,Good,common in clinvar
Rs104893886(T;T),0,Good,common in clinvar
Rs104893887(A;A),0,Good,common in clinvar
Rs104893888(A;A),0,Good,common in clinvar
Rs104893889(G;G),0,Good,common in clinvar
Rs104893891(A;A),0,Good,common in complete genomics
Rs104893892(G;G),0,Good,common in clinvar
Rs104893893(G;G),0,Good,common in clinvar
Rs104893894(C;C),0,Good,common in clinvar
Rs104893895(C;C),0,Good,common in clinvar
Rs104893896(G;G),0,Good,common in clinvar
Rs104893897(G;G),0,Good,common in clinvar
Rs104893898(C;C),0,Good,common in clinvar
Rs104893899(G;G),0,Good,common in clinvar
Rs104893900(C;C),0,Good,common in clinvar
Rs104893901(C;C),0,Good,common in clinvar
Rs104893902(C;C),0,Good,common in clinvar
Rs104893903(C;C),0,Good,common in clinvar
Rs104893904(G;G),0,Good,common in clinvar
Rs104893905(C;C),0,Good,common in clinvar
Rs104893906(C;C),0,Good,common in clinvar
Rs104893907(T;T),0,Good,common in clinvar
Rs104893908(A;A),0,Good,common in clinvar
Rs104893909(T;T),0,Good,common in clinvar
Rs104893910(T;T),0,Good,common in clinvar
Rs104893911(T;T),0,Good,common in clinvar
Rs104893912(T;T),0,Good,common in clinvar
Rs104893913(G;G),0,Good,common in clinvar
Rs104893914(G;G),0,Good,common in clinvar
Rs104893915(C;C),0,Good,common in clinvar
Rs104893915(T;T),7,Bad,Several bone disorders associated with this genotype
Rs104893916(G;G),0,Good,common in clinvar
Rs104893917(G;G),0,Good,common in clinvar
Rs104893918(C;C),0,Good,common in clinvar
Rs104893919(C;C),0,Good,common in clinvar
Rs104893920(A;A),0,Good,common in clinvar
Rs104893921(A;A),0,Good,common in clinvar
Rs104893922(A;A),0,Good,common in clinvar
Rs104893922(G;G),6,Bad,"Spinal muscular atrophy, type 1"
Rs104893924(T;T),0,Good,common in clinvar
Rs104893927(G;G),0,Good,common in clinvar
Rs104893930(G;G),0,Good,common in clinvar
Rs104893930(A;A),6,Bad,"Spinal muscular atrophy, type 2"
Rs104893931(A;A),0,Good,common in clinvar
Rs104893931(T;T),6,Bad,"Spinal muscular atrophy, type 3"
Rs104893932(A;A),0,Good,common in clinvar
Rs104893932(G;G),6,Bad,"Spinal muscular atrophy, type 3"
Rs104893933(A;A),0,Good,common in clinvar
Rs104893934(C;C),0,Good,common in clinvar
Rs104893934(G;G),6,Bad,"Spinal muscular atrophy, type 1"
Rs104893935(C;C),0,Good,common in clinvar
Rs104893935(G;G),6,Bad,"Spinal muscular atrophy, type 1 or 2"
Rs104893936(G;G),0,Good,common in clinvar
Rs104893937(C;C),0,Good,common in clinvar
Rs104893938(T;T),0,Good,common in clinvar
Rs104893939(T;T),0,Good,common in clinvar
Rs104893940(C;C),0,Good,common in clinvar
Rs104893941(C;C),0,Good,common in clinvar
Rs104893942(C;C),0,Good,common in clinvar
Rs104893943(G;G),0,Good,common in clinvar
Rs104893944(C;C),0,Good,common in clinvar
Rs104893945(C;C),0,Good,common in clinvar
Rs104893946(C;C),0,Good,common in clinvar
Rs104893947(G;G),0,Good,common in clinvar
Rs104893948(G;G),0,Good,common in clinvar
Rs104893950(C;C),0,Good,common in clinvar
Rs104893951(T;T),0,Good,common in clinvar
Rs104893952(C;C),0,Good,common in clinvar
Rs104893953(G;G),0,Good,common in clinvar
Rs104893954(C;C),0,Good,common in clinvar
Rs104893955(T;T),0,Good,common in clinvar
Rs104893956(C;C),0,Good,common in clinvar
Rs104893957(C;C),0,Good,common in clinvar
Rs104893958(C;C),0,Good,common in clinvar
Rs104893959(G;G),0,Good,common in clinvar
Rs104893960(G;G),0,Good,common in clinvar
Rs104893961(A;A),0,Good,common in clinvar
Rs104893962(T;T),0,Good,common in clinvar
Rs104893963(G;G),0,Good,common in clinvar
Rs104893964(G;G),0,Good,common in clinvar
Rs104893965(G;G),0,Good,common in clinvar
Rs104893966(A;A),0,Good,common in clinvar
Rs104893967(A;A),0,Good,common in clinvar
Rs104893968(C;C),0,Good,common in clinvar
Rs104893969(G;G),0,Good,common in clinvar
Rs104893970(C;C),0,Good,common in clinvar
Rs104893971(G;G),0,Good,common in clinvar
Rs104893972(T;T),0,Good,common in clinvar
Rs104893973(T;T),0,Good,common in clinvar
Rs104893974(G;G),0,Good,common in clinvar
Rs104893975(A;A),0,Good,common in clinvar
Rs104893976(C;C),0,Good,common in clinvar
Rs104893977(T;T),0,Good,common in clinvar
Rs104893978(T;T),0,Good,common in clinvar
Rs104893979(C;C),0,Good,common in clinvar
Rs104893980(G;G),0,Good,common in clinvar
Rs104893981(C;C),0,Good,common in clinvar
Rs104893983(G;G),0,Good,common in clinvar
Rs104893984(G;G),0,Good,common in clinvar
Rs104893985(C;C),0,Good,common in clinvar
Rs104893986(G;G),0,Good,common in clinvar
Rs104893987(G;G),0,Good,common in clinvar
Rs104893988(G;G),0,Good,common in clinvar
Rs104893989(T;T),0,Good,common in clinvar
Rs104893990(G;G),0,Good,common in clinvar
Rs104893991(G;G),0,Good,common in clinvar
Rs104893992(C;C),0,Good,common in clinvar
Rs104893993(A;A),0,Good,common in clinvar
Rs104893994(G;G),0,Good,common in clinvar
Rs104893995(G;G),0,Good,common in clinvar
Rs104893996(C;C),0,Good,common in clinvar
Rs104893998(G;G),0,Good,common in clinvar
Rs104894001(G;G),0,Good,common in clinvar
Rs104894002(C;C),0,Good,common in clinvar
Rs104894003(C;C),0,Good,common in clinvar
Rs104894004(C;C),0,Good,common in clinvar
Rs104894005(G;G),0,Good,common in clinvar
Rs104894006(C;C),0,Good,common in clinvar
Rs104894008(G;G),0,Good,common in clinvar
Rs104894009(G;G),0,Good,common in clinvar
Rs104894010(T;T),0,Good,common in clinvar
Rs104894011(G;G),0,Good,common in clinvar
Rs104894012(G;G),0,Good,common in clinvar
Rs104894014(C;C),0,Good,common in clinvar
Rs104894015(A;A),0,Good,common in clinvar
Rs104894016(G;G),0,Good,common in clinvar
Rs104894017(C;C),0,Good,common in clinvar
Rs104894018(C;C),0,Good,common in clinvar
Rs104894019(G;G),0,Good,common in clinvar
Rs104894020(C;C),0,Good,common in clinvar
Rs104894021(C;C),0,Good,common in clinvar
Rs104894023(C;C),0,Good,common in clinvar
Rs104894024(C;C),0,Good,common in clinvar
Rs104894025(A;A),0,Good,common in clinvar
Rs104894026(C;C),0,Good,common in clinvar
Rs104894027(T;T),0,Good,common in clinvar
Rs104894028(A;A),0,Good,common in clinvar
Rs104894029(G;G),0,Good,common in clinvar
Rs104894030(A;A),0,Good,common in clinvar
Rs104894031(G;G),0,Good,common in clinvar
Rs104894032(T;T),0,Good,common in clinvar
Rs104894033(C;C),0,Good,common in clinvar
Rs104894034(C;C),0,Good,common in clinvar
Rs104894035(G;G),0,Good,common in clinvar
Rs104894036(T;T),0,Good,common in clinvar
Rs104894037(A;A),0,Good,common in clinvar
Rs104894039(A;A),0,Good,common in clinvar
Rs104894040(T;T),0,Good,common in clinvar
Rs104894042(T;T),0,Good,common in clinvar
Rs104894043(G;G),0,Good,common in clinvar
Rs104894044(C;C),0,Good,common in clinvar
Rs104894045(A;A),0,Good,common in clinvar
Rs104894046(G;G),0,Good,common in clinvar
Rs104894047(G;G),0,Good,common in clinvar
Rs104894048(C;C),0,Good,common in clinvar
Rs104894049(A;A),0,Good,common in clinvar
Rs104894050(A;A),0,Good,common in clinvar
Rs104894051(G;G),0,Good,common in clinvar
Rs104894052(T;T),0,Good,common in clinvar
Rs104894053(G;G),0,Good,common in clinvar
Rs104894054(C;C),0,Good,common in clinvar
Rs104894055(C;C),0,Good,common in clinvar
Rs104894057(A;A),0,Good,common in clinvar
Rs104894058(G;G),0,Good,common in clinvar
Rs104894059(A;A),0,Good,common in clinvar
Rs104894060(C;C),0,Good,common in clinvar
Rs104894061(C;C),0,Good,common in clinvar
Rs104894062(G;G),0,Good,common in clinvar
Rs104894063(T;T),0,Good,common in clinvar
Rs104894064(C;C),0,Good,common in clinvar
Rs104894065(C;C),0,Good,common in clinvar
Rs104894066(G;G),0,Good,common in clinvar
Rs104894067(A;A),0,Good,common in clinvar
Rs104894068(C;C),0,Good,common in clinvar
Rs104894069(C;C),0,Good,common in clinvar
Rs104894070(C;C),0,Good,common in clinvar
Rs104894071(C;C),0,Good,common in clinvar
Rs104894072(A;A),0,Good,common in clinvar
Rs104894073(G;G),0,Good,common in clinvar
Rs104894074(C;C),0,Good,common in clinvar
Rs104894075(C;C),0,Good,common in clinvar
Rs104894076(G;G),0,Good,common in clinvar
Rs104894077(C;C),0,Good,common in clinvar
Rs104894078(C;C),0,Good,common in clinvar
Rs104894079(A;A),0,Good,common in clinvar
Rs104894080(C;C),0,Good,common in clinvar
Rs104894082(C;C),0,Good,common in clinvar
Rs104894083(C;C),0,Good,common in clinvar
Rs104894085(C;C),0,Good,common in clinvar
Rs104894085(T;T),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894086(G;G),0,Good,common in clinvar
Rs104894087(G;G),0,Good,common in clinvar
Rs104894087(A;A),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894089(G;G),0,Good,common in clinvar
Rs104894089(A;A),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894090(C;C),0,Good,common in clinvar
Rs104894090(T;T),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894091(G;G),0,Good,common in clinvar
Rs104894092(T;T),0,Good,common in clinvar
Rs104894093(C;C),0,Good,common in clinvar
Rs104894094(G;G),0,Good,common in clinvar
Rs104894095(G;G),0,Good,common in clinvar
Rs104894097(G;G),0,Good,common in complete genomics
Rs104894098(T;T),0,Good,common in complete genomics
Rs104894099(T;T),0,Good,common in complete genomics
Rs104894100(T;T),0,Good,common in clinvar
Rs104894101(C;C),0,Good,common in clinvar
Rs104894102(C;C),0,Good,common in clinvar
Rs104894103(G;G),0,Good,common in clinvar
Rs104894104(C;C),0,Good,common in complete genomics
Rs104894105(T;T),0,Good,common in clinvar
Rs104894106(A;A),0,Good,common in clinvar
Rs104894106(T;T),6,Bad,Friedreich's ataxia
Rs104894107(G;G),0,Good,common in clinvar
Rs104894107(T;T),6,Bad,Friedreich's ataxia
Rs104894108(G;G),0,Good,common in clinvar
Rs104894109(G;G),0,Good,common in complete genomics
Rs104894110(C;C),0,Good,common in clinvar
Rs104894111(C;C),0,Good,common in clinvar
Rs104894113(G;G),0,Good,common in clinvar
Rs104894114(G;G),0,Good,common in clinvar
Rs104894115(G;G),0,Good,common in clinvar
Rs104894116(C;C),0,Good,common in clinvar
Rs104894117(A;A),0,Good,common in clinvar
Rs104894118(G;G),0,Good,common in clinvar
Rs104894119(G;G),0,Good,common in clinvar
Rs104894120(T;T),0,Good,common in clinvar
Rs104894121(G;G),0,Good,common in clinvar
Rs104894122(G;G),0,Good,common in clinvar
Rs104894123(C;C),0,Good,common in clinvar
Rs104894124(G;G),0,Good,common in clinvar
Rs104894125(G;G),0,Good,common in clinvar
Rs104894126(G;G),0,Good,common in clinvar
Rs104894127(C;C),0,Good,common in clinvar
Rs104894128(A;A),0,Good,common in clinvar
Rs104894128(C;C),4,Bad,Nemaline Myopathy 4
Rs104894129(G;G),0,Good,common in clinvar
Rs104894129(A;A),4,Bad,Nemaline Myopathy 4
Rs104894130(C;C),0,Good,common in clinvar
Rs104894131(G;G),0,Good,common in clinvar
Rs104894132(C;C),0,Good,common in clinvar
Rs104894133(C;C),0,Good,common in clinvar
Rs104894134(T;T),0,Good,common in clinvar
Rs104894135(T;T),0,Good,common in clinvar
Rs104894135(C;C),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894136(C;C),0,Good,common in complete genomics
Rs104894137(C;C),0,Good,common in clinvar
Rs104894137(A;A),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894138(C;C),0,Good,common in clinvar
Rs104894138(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894139(G;G),0,Good,common in clinvar
Rs104894141(G;G),0,Good,common in clinvar
Rs104894141(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894142(C;C),0,Good,common in clinvar
Rs104894142(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894143(T;T),0,Good,common in clinvar
Rs104894143(C;C),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894144(T;T),0,Good,common in clinvar
Rs104894145(C;C),0,Good,common in clinvar
Rs104894145(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894146(T;T),0,Good,common in clinvar
Rs104894146(G;G),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894147(T;T),0,Good,common in clinvar
Rs104894147(G;G),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894148(A;A),0,Good,common in clinvar
Rs104894148(T;T),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894149(C;C),0,Good,common in clinvar
Rs104894149(T;T),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894150(T;T),0,Good,common in clinvar
Rs104894150(A;A),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894151(T;T),0,Good,common in clinvar
Rs104894151(C;C),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894152(C;C),0,Good,common in clinvar
Rs104894152(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894153(G;G),0,Good,common in clinvar
Rs104894153(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894154(G;G),0,Good,common in clinvar
Rs104894154(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894155(G;G),0,Good,common in clinvar
Rs104894155(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894158(T;T),0,Good,common in clinvar
Rs104894159(C;C),0,Good,common in clinvar
Rs104894160(G;G),0,Good,common in clinvar
Rs104894161(C;C),0,Good,common in clinvar
Rs104894162(C;C),0,Good,common in clinvar
Rs104894163(T;T),0,Good,common in clinvar
Rs104894164(C;C),0,Good,common in clinvar
Rs104894165(A;A),0,Good,common in clinvar
Rs104894166(T;T),0,Good,common in clinvar
Rs104894167(T;T),0,Good,common in clinvar
Rs104894168(C;C),0,Good,common in clinvar
Rs104894169(G;G),0,Good,common in clinvar
Rs104894170(G;G),0,Good,common in clinvar
Rs104894171(A;A),0,Good,common in clinvar
Rs104894172(G;G),0,Good,common in clinvar
Rs104894173(G;G),0,Good,common in clinvar
Rs104894174(G;G),0,Good,common in clinvar
Rs104894175(G;G),0,Good,common in clinvar
Rs104894176(G;G),0,Good,common in clinvar
Rs104894177(T;T),0,Good,common in clinvar
Rs104894178(C;C),0,Good,common in clinvar
Rs104894179(A;A),0,Good,common in clinvar
Rs104894180(C;C),0,Good,common in clinvar
Rs104894181(G;G),0,Good,common in clinvar
Rs104894182(G;G),0,Good,common in clinvar
Rs104894183(T;T),0,Good,common in clinvar
Rs104894184(T;T),0,Good,common in complete genomics
Rs104894186(C;C),0,Good,common in clinvar
Rs104894187(A;A),0,Good,common in clinvar
Rs104894188(C;C),0,Good,common in clinvar
Rs104894189(C;C),0,Good,common in clinvar
Rs104894190(G;G),0,Good,common in clinvar
Rs104894191(C;C),0,Good,common in clinvar
Rs104894192(C;C),0,Good,common in clinvar
Rs104894193(G;G),0,Good,common in clinvar
Rs104894194(C;C),0,Good,common in clinvar
Rs104894195(C;C),0,Good,common in clinvar
Rs104894196(G;G),0,Good,common in clinvar
Rs104894197(C;C),0,Good,common in clinvar
Rs104894198(C;C),0,Good,common in clinvar
Rs104894199(A;A),0,Good,common in clinvar
Rs104894200(C;C),0,Good,common in clinvar
Rs104894201(A;A),0,Good,common in clinvar
Rs104894202(C;C),0,Good,common in clinvar
Rs104894203(G;G),0,Good,common in clinvar
Rs104894204(T;T),0,Good,common in clinvar
Rs104894205(T;T),0,Good,common in clinvar
Rs104894206(C;C),0,Good,common in clinvar
Rs104894207(A;A),0,Good,common in clinvar
Rs104894208(A;A),0,Good,common in clinvar
Rs104894209(C;C),0,Good,common in clinvar
Rs104894210(G;G),0,Good,common in clinvar
Rs104894211(A;A),0,Good,common in clinvar
Rs104894212(G;G),0,Good,common in clinvar
Rs104894213(G;G),0,Good,common in clinvar
Rs104894214(G;G),0,Good,common in clinvar
Rs104894215(G;G),0,Good,common in clinvar
Rs104894216(A;A),0,Good,common in clinvar
Rs104894220(G;G),0,Good,common in clinvar
Rs104894221(C;C),0,Good,common in clinvar
Rs104894222(C;C),0,Good,common in clinvar
Rs104894223(A;A),0,Good,common in clinvar
Rs104894224(C;C),0,Good,common in clinvar
Rs104894226(G;G),0,Good,common in clinvar
Rs104894227(A;A),0,Good,common in clinvar
Rs104894228(G;G),0,Good,common in clinvar
Rs104894229(G;G),0,Good,common in clinvar
Rs104894230(G;G),0,Good,common in clinvar
Rs104894231(G;G),0,Good,common in clinvar
Rs104894232(A;A),0,Good,common in clinvar
Rs104894236(C;C),0,Good,common in clinvar
Rs104894237(C;C),0,Good,common in clinvar
Rs104894244(C;C),0,Good,common in clinvar
Rs104894245(C;C),0,Good,common in clinvar
Rs104894246(C;C),0,Good,common in clinvar
Rs104894248(A;A),0,Good,common in clinvar
Rs104894250(G;G),0,Good,common in clinvar
Rs104894251(T;T),0,Good,common in clinvar
Rs104894252(G;G),0,Good,common in clinvar
Rs104894253(G;G),0,Good,common in clinvar
Rs104894254(G;G),0,Good,common in clinvar
Rs104894255(G;G),0,Good,common in clinvar
Rs104894256(T;T),0,Good,common in clinvar
Rs104894257(G;G),0,Good,common in complete genomics
Rs104894258(G;G),0,Good,common in complete genomics
Rs104894259(T;T),0,Good,common in clinvar
Rs104894260(G;G),0,Good,common in clinvar
Rs104894261(C;C),0,Good,common in clinvar
Rs104894262(T;T),0,Good,common in clinvar
Rs104894263(C;C),0,Good,common in clinvar
Rs104894264(G;G),0,Good,common in clinvar
Rs104894265(C;C),0,Good,common in clinvar
Rs104894266(C;C),0,Good,common in clinvar
Rs104894267(C;C),0,Good,common in clinvar
Rs104894268(G;G),0,Good,common in clinvar
Rs104894269(C;C),0,Good,common in clinvar
Rs104894270(C;C),0,Good,common in clinvar
Rs104894271(T;T),0,Good,common in clinvar
Rs104894272(T;T),0,Good,common in clinvar
Rs104894273(G;G),0,Good,common in clinvar
Rs104894274(C;C),0,Good,common in clinvar
Rs104894275(A;A),0,Good,common in clinvar
Rs104894276(C;C),0,Good,common in clinvar
Rs104894277(G;G),0,Good,common in clinvar
Rs104894278(A;A),0,Good,common in clinvar
Rs104894279(A;A),0,Good,common in clinvar
Rs104894280(G;G),0,Good,common in clinvar
Rs104894281(G;G),0,Good,common in clinvar
Rs104894282(G;G),0,Good,common in clinvar
Rs104894283(T;T),0,Good,common in clinvar
Rs104894284(G;G),0,Good,common in clinvar
Rs104894285(C;C),0,Good,common in clinvar
Rs104894286(G;G),0,Good,common in clinvar
Rs104894287(C;C),0,Good,common in clinvar
Rs104894288(A;A),0,Good,common in clinvar
Rs104894289(C;C),0,Good,common in clinvar
Rs104894290(A;A),0,Good,common in clinvar
Rs104894291(G;G),0,Good,common in clinvar
Rs104894292(A;A),0,Good,common in clinvar
Rs104894293(T;T),0,Good,common in clinvar
Rs104894294(C;C),0,Good,common in clinvar
Rs104894295(G;G),0,Good,common in clinvar
Rs104894296(G;G),0,Good,common in clinvar
Rs104894297(A;A),0,Good,common in clinvar
Rs104894298(C;C),0,Good,common in clinvar
Rs104894299(C;C),0,Good,common in clinvar
Rs104894299(A;A),6,Bad,Congenital myasthenic syndrome
Rs104894300(T;T),0,Good,common in clinvar
Rs104894301(C;C),0,Good,common in clinvar
Rs104894302(A;A),0,Good,common in clinvar
Rs104894303(C;C),0,Good,common in clinvar
Rs104894304(A;A),0,Good,common in clinvar
Rs104894305(C;C),0,Good,common in clinvar
Rs104894306(C;C),0,Good,common in clinvar
Rs104894307(A;A),0,Good,common in complete genomics
Rs104894308(G;G),0,Good,common in clinvar
Rs104894309(C;C),0,Good,common in clinvar
Rs104894310(G;G),0,Good,common in clinvar
Rs104894311(G;G),0,Good,common in clinvar
Rs104894312(C;C),0,Good,common in clinvar
Rs104894313(C;C),0,Good,common in clinvar
Rs104894314(G;G),0,Good,common in clinvar
Rs104894315(C;C),0,Good,common in clinvar
Rs104894316(G;G),0,Good,common in clinvar
Rs104894317(G;G),0,Good,common in clinvar
Rs104894318(G;G),0,Good,common in clinvar
Rs104894319(C;C),0,Good,common in clinvar
Rs104894320(T;T),0,Good,common in clinvar
Rs104894321(T;T),0,Good,common in clinvar
Rs104894322(A;A),0,Good,common in clinvar
Rs104894323(C;C),0,Good,common in clinvar
Rs104894324(C;C),0,Good,common in clinvar
Rs104894325(G;G),0,Good,common in clinvar
Rs104894326(G;G),0,Good,common in clinvar
Rs104894327(T;T),0,Good,common in clinvar
Rs104894328(C;C),0,Good,common in clinvar
Rs104894329(T;T),0,Good,common in clinvar
Rs104894330(C;C),0,Good,common in clinvar
Rs104894331(A;A),0,Good,common in clinvar
Rs104894332(G;G),0,Good,common in clinvar
Rs104894333(C;C),0,Good,common in clinvar
Rs104894334(G;G),0,Good,common in clinvar
Rs104894335(G;G),0,Good,common in clinvar
Rs104894336(C;C),0,Good,common in clinvar
Rs104894337(C;C),0,Good,common in clinvar
Rs104894338(G;G),0,Good,common in clinvar
Rs104894339(C;C),0,Good,common in clinvar
Rs104894340(G;G),0,Good,common in complete genomics
Rs104894341(G;G),0,Good,common in clinvar
Rs104894342(A;A),0,Good,common in clinvar
Rs104894343(T;T),0,Good,common in clinvar
Rs104894344(C;C),0,Good,common in clinvar
Rs104894345(G;G),0,Good,common in clinvar
Rs104894346(T;T),0,Good,common in clinvar
Rs104894347(G;G),0,Good,common in clinvar
Rs104894348(C;C),0,Good,common in clinvar
Rs104894349(G;G),0,Good,common in clinvar
Rs104894351(A;A),0,Good,common in clinvar
Rs104894352(T;T),0,Good,common in clinvar
Rs104894353(G;G),0,Good,common in clinvar
Rs104894354(A;A),0,Good,common in clinvar
Rs104894355(G;G),0,Good,common in clinvar
Rs104894356(T;T),0,Good,common in clinvar
Rs104894357(T;T),0,Good,common in clinvar
Rs104894358(C;C),0,Good,common in clinvar
Rs104894359(G;G),0,Good,common in clinvar
Rs104894360(A;A),0,Good,common in clinvar
Rs104894361(A;A),0,Good,common in clinvar
Rs104894362(C;C),0,Good,common in clinvar
Rs104894363(G;G),0,Good,common in clinvar
Rs104894364(C;C),0,Good,common in clinvar
Rs104894365(G;G),0,Good,common in clinvar
Rs104894366(C;C),0,Good,common in clinvar
Rs104894367(T;T),0,Good,common in clinvar
Rs104894368(G;G),0,Good,common in clinvar
Rs104894369(G;G),0,Good,common in clinvar
Rs104894370(T;T),0,Good,common in clinvar
Rs104894371(C;C),0,Good,common in clinvar
Rs104894372(G;G),0,Good,common in clinvar
Rs104894373(T;T),0,Good,common in clinvar
Rs104894374(C;C),0,Good,common in clinvar
Rs104894375(G;G),0,Good,common in clinvar
Rs104894376(A;A),0,Good,common in clinvar
Rs104894377(G;G),0,Good,common in clinvar
Rs104894378(G;G),0,Good,common in clinvar
Rs104894379(C;C),0,Good,common in clinvar
Rs104894380(T;T),0,Good,common in clinvar
Rs104894381(G;G),0,Good,common in clinvar
Rs104894382(C;C),0,Good,common in clinvar
Rs104894383(C;C),0,Good,common in clinvar
Rs104894384(T;T),0,Good,common in clinvar
Rs104894385(G;G),0,Good,common in clinvar
Rs104894386(G;G),0,Good,common in clinvar
Rs104894387(G;G),0,Good,common in complete genomics
Rs104894388(C;C),0,Good,common in clinvar
Rs104894389(G;G),0,Good,common in complete genomics
Rs104894390(C;C),0,Good,common in clinvar
Rs104894391(C;C),0,Good,common in clinvar
Rs104894392(C;C),0,Good,common in clinvar
Rs104894393(T;T),0,Good,common in clinvar
Rs104894395(G;G),0,Good,common in clinvar
Rs104894396(G;G),0,Good,common in clinvar
Rs104894397(T;T),0,Good,common in clinvar
Rs104894398(G;G),0,Good,common in clinvar
Rs104894401(G;G),0,Good,common in clinvar
Rs104894402(C;C),0,Good,common in clinvar
Rs104894403(G;G),0,Good,common in clinvar
Rs104894404(G;G),0,Good,common in clinvar
Rs104894406(G;G),0,Good,common in clinvar
Rs104894407(G;G),0,Good,common in clinvar
Rs104894408(G;G),0,Good,common in clinvar
Rs104894409(G;G),0,Good,common in clinvar
Rs104894410(G;G),0,Good,common in clinvar
Rs104894412(C;C),0,Good,common in clinvar
Rs104894413(G;G),0,Good,common in clinvar
Rs104894414(C;C),0,Good,common in clinvar
Rs104894415(G;G),0,Good,common in clinvar
Rs104894416(T;T),0,Good,common in clinvar
Rs104894417(T;T),0,Good,common in clinvar
Rs104894418(C;C),0,Good,common in clinvar
Rs104894419(C;C),0,Good,common in clinvar
Rs104894420(G;G),0,Good,common in clinvar
Rs104894421(G;G),0,Good,common in clinvar
Rs104894422(G;G),0,Good,common in clinvar
Rs104894423(G;G),0,Good,common in clinvar
Rs104894424(G;G),0,Good,common in clinvar
Rs104894425(A;A),0,Good,common in clinvar
Rs104894426(T;T),0,Good,common in clinvar
Rs104894427(C;C),0,Good,common in clinvar
Rs104894428(C;C),0,Good,common in clinvar
